Issue Type,Summary,Description,Epic Name,Epic Link,Story Points,Priority,Labels
Epic,"S1 - Centralisation Dossier","Centraliser les informations du dossier: inbox multi-canaux, notes, tâches, documents, permissions et audit.","S1 - Centralisation Dossier",,,High,"sprint1,centralisation,p1"
Epic,"S2 - Orchestration Métier","Orchestrer les opérations dossier: calendrier, SLA, facturation de base.","S2 - Orchestration Métier",,,High,"sprint2,orchestration,p2"
Epic,"S3 - Différenciation Produit","Différencier le produit: automatisations métier et reporting direction.","S3 - Différenciation Produit",,,Medium,"sprint3,differenciation,p3"
Story,"US1 - Ingestion multi-canaux vers timeline dossier","En tant qu'utilisateur, je veux que les messages entrants (SMS/Email/Signal...) soient centralisés dans la timeline du dossier afin de ne perdre aucune information.\n\nAC:\n- 1 message entrant = 1 event horodaté.\n- Event visible dans le dossier cible.\n- Déduplication active.",,"S1 - Centralisation Dossier",8,Highest,"sprint1,p1,inbox,api"
Story,"US2 - Notes dossier collaboratives","En tant que collaborateur, je veux créer, modifier et consulter des notes de dossier avec mentions pour fluidifier la collaboration.\n\nAC:\n- CRUD notes disponible.\n- Mentions persistées.\n- Contrôle d'accès propriétaire/collaborateur.",,"S1 - Centralisation Dossier",5,High,"sprint1,p1,notes"
Story,"US3 - Tâches dossier","En tant que collaborateur, je veux gérer des tâches liées au dossier avec priorité et échéance afin d'assurer l'exécution.\n\nAC:\n- CRUD tâches disponible.\n- Assignation, priorité, échéance, statut.\n- Filtre tâches en retard.",,"S1 - Centralisation Dossier",5,High,"sprint1,p1,tasks"
Story,"US4 - Documents dossier versionnés","En tant qu'utilisateur, je veux uploader et versionner les documents de dossier avec téléchargement sécurisé.\n\nAC:\n- Upload sécurisé actif.\n- Version N+1 créée.\n- Téléchargement protégé par permissions.",,"S1 - Centralisation Dossier",8,High,"sprint1,p1,documents,security"
Story,"US5 - Permissions et audit","En tant qu'administrateur, je veux un contrôle d'accès par rôle et un journal d'audit complet pour la conformité.\n\nAC:\n- Réponses 401/403 correctes.\n- Aucune fuite inter-dossiers.\n- Journalisation des actions sensibles.",,"S1 - Centralisation Dossier",8,Highest,"sprint1,p1,security,rgpd,audit"
Story,"US6 - Calendrier et alertes SLA","En tant qu'utilisateur, je veux visualiser les échéances et recevoir des rappels pour respecter les SLA.\n\nAC:\n- Échéances visibles en agenda.\n- Rappels envoyés.\n- Retards identifiables.",,"S2 - Orchestration Métier",8,High,"sprint2,p2,calendar,sla"
Story,"US7 - Facturation de base","En tant qu'équipe finance, je veux convertir le temps saisi en facture brouillon puis facture émise.\n\nAC:\n- Flux temps -> facture brouillon -> facture émise opérationnel.\n- Totaux cohérents.\n- Statut paiement suivi.",,"S2 - Orchestration Métier",13,High,"sprint2,p2,billing,finance"
Story,"US8 - Automatisations métier","En tant qu'utilisateur, je veux configurer des règles si/alors pour réduire les tâches manuelles.\n\nAC:\n- Règle active exécute une action automatiquement.\n- Logs d'exécution disponibles.\n- Actions: assigner/notifier/tagger.",,"S3 - Différenciation Produit",13,Medium,"sprint3,p3,automation"
Story,"US9 - Reporting direction","En tant que direction, je veux un reporting consolidé avec exports pour piloter l'activité.\n\nAC:\n- KPI principaux disponibles.\n- Filtres période/équipe.\n- Export utilisable.",,"S3 - Différenciation Produit",8,Medium,"sprint3,p3,reporting,kpi"
Story,"US10 - Portail client de suivi dossier","En tant que client, je veux suivre l'avancement de mon dossier et les prochaines actions sans contacter le cabinet.\n\nAC:\n- Statut dossier visible en temps réel.\n- Timeline client lisible et filtrée.\n- Actions attendues côté client clairement listées.",,"S1 - Centralisation Dossier",8,High,"sprint1,p1,role-client,portal"
Story,"US11 - Upload client guidé","En tant que client, je veux déposer mes pièces via un parcours guidé pour réduire les erreurs de dépôt.\n\nAC:\n- Checklist de documents obligatoire.\n- Validation de format/taille avant envoi.\n- Confirmation de réception traçable.",,"S1 - Centralisation Dossier",5,High,"sprint1,p1,role-client,documents"
Story,"US12 - Triage assistant par priorité","En tant qu'assistant(e), je veux une file de tri priorisée pour traiter rapidement les nouveaux dossiers.\n\nAC:\n- Vue file d'attente avec SLA.\n- Tri par urgence/canal ancienneté.\n- Assignation en un clic.",,"S1 - Centralisation Dossier",8,Highest,"sprint1,p1,role-assistant,triage"
Story,"US13 - Checklist de passation assistant vers juriste","En tant qu'assistant(e), je veux une checklist de passation standardisée pour éviter les pertes d'information.\n\nAC:\n- Champs obligatoires avant passation.\n- Blocage passation si incomplet.\n- Historique de passation auditable.",,"S1 - Centralisation Dossier",5,High,"sprint1,p1,role-assistant,handoff"
Story,"US14 - Vue juriste 360 avec contexte consolidé","En tant que juriste/avocat, je veux une vue 360 du dossier pour décider plus vite avec moins de changements de contexte.\n\nAC:\n- Notes, tâches, événements et documents sur une seule vue.\n- Filtre par période et type d'information.\n- Actions rapides (note/tâche/message) intégrées.",,"S2 - Orchestration Métier",8,High,"sprint2,p2,role-juriste,workspace"
Story,"US15 - Charge équipe pour responsable","En tant que responsable d'équipe, je veux visualiser la charge par collaborateur pour équilibrer la répartition des dossiers.\n\nAC:\n- Charge par personne visible.\n- Alertes surcharge détectées.\n- Réaffectation traçable.",,"S2 - Orchestration Métier",8,High,"sprint2,p2,role-manager,capacity"
Story,"US16 - Pipeline finance dossier vers facture","En tant que finance, je veux un pipeline clair dossier->temps->facture->paiement pour réduire le délai de facturation.\n\nAC:\n- États de facturation normalisés.\n- Alertes factures en retard.\n- Export comptable disponible.",,"S2 - Orchestration Métier",8,High,"sprint2,p2,role-finance,billing"
Story,"US17 - Contrôles conformité RGPD par rôle","En tant que conformité, je veux appliquer rétention, minimisation et traçabilité par rôle pour rester conforme RGPD.\n\nAC:\n- Politique de rétention configurable.\n- Journal d'accès par dossier et par rôle.\n- Export preuve conformité disponible.",,"S3 - Différenciation Produit",13,Highest,"sprint3,p3,role-compliance,rgpd"
Story,"US18 - Monitoring admin des intégrations","En tant qu'admin, je veux surveiller l'état des intégrations canaux pour corriger rapidement les pannes de centralisation.\n\nAC:\n- Dashboard statut connecteurs.\n- Alertes d'échec webhook/API.\n- Relance/retry sécurisé depuis l'interface.",,"S3 - Différenciation Produit",8,Medium,"sprint3,p3,role-admin,monitoring"
